Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623408334.8982756,1,1623408334,897480726,init,init,start
1623408338.893802,2,1623408338,892919301,start,start,init
1623408344.246383,3,1623408344,245676755,init,init,start
1623408344.855304,4,1623408344,855191230,start,start,start
1623408346.9256938,5,1623408346,925099372,start,start,init
1623408400.0399673,6,1623408400,39166212,init,init,start
1623408402.9777172,7,1623408402,976929426,start,start,init
1623408414.80149,8,1623408414,800677299,init,init,start
1623408439.3474674,9,1623408439,346862077,start,start,intro
1623408473.7287316,10,1623408473,727850198,intro,intro,indiv-illustrate
1623408584.452861,11,1623408584,451888084,indiv-illustrate,indiv-illustrate,pretest-1
1623408686.8360877,12,1623408686,835150003,pretest-1,pretest-1,pretest-2
1623408754.2759535,13,1623408754,275339603,pretest-2,pretest-2,pretest-3
1623408819.466194,14,1623408819,465299129,pretest-3,pretest-3,pretest-4
1623408881.7160842,15,1623408881,715314626,pretest-4,pretest-4,pretest-5
1623408921.6274729,16,1623408921,626543760,pretest-5,pretest-5,collab-activity
1623409049.9799087,1,1623409049,979101419,init,init,start
1623409050.3593256,2,1623409050,358696937,start,start,intro
1623409050.8822453,3,1623409050,881572961,intro,intro,indiv-illustrate
1623409051.1474853,4,1623409051,146789073,indiv-illustrate,indiv-illustrate,pretest-1
1623409051.5636418,5,1623409051,562866687,pretest-1,pretest-1,pretest-2
1623409052.2267854,6,1623409052,225999593,pretest-2,pretest-2,pretest-3
1623409053.0902083,7,1623409053,89976549,pretest-3,pretest-3,pretest-4
1623409053.6282227,8,1623409053,627621173,pretest-4,pretest-4,pretest-5
1623409054.2946432,9,1623409054,294430971,pretest-5,pretest-5,collab-activity
1623409528.0988567,10,1623409528,98129749,collab-activity,collab-activity,collab-activity
1623410534.3738592,11,1623410534,373651742,collab-activity-2,collab-activity-2,collab-activity-2
1623411074.314324,12,1623411074,313473463,collab-activity-2,collab-activity-2,posttest-1
1623411182.155515,2,1623411182,154903650,init,init,init
1623411217.030181,2,1623411217,29590845,posttest-1,posttest-1,posttest-1
1623411256.590946,3,1623411256,590329170,posttest-1,posttest-1,posttest-2
1623411297.8085406,4,1623411297,807902097,posttest-2,posttest-2,posttest-3
1623411336.2355103,5,1623411336,235285997,posttest-3,posttest-3,posttest-4
1623411369.1405587,6,1623411369,140364646,posttest-4,posttest-4,posttest-5
1623411403.9203844,7,1623411403,919786691,posttest-5,posttest-5,debriefing
