Time,data
1623410289.9595501,epfl/justhink/show_QT_head_down
1623410295.4629083,epfl/justhink/point_front_head_forward
1623410298.6767514,QT/happy
1623410305.0890915,QT/yawn
1623410311.4003406,QT/rappel
1623410318.5942311,QT/yes
1623410322.4949963,QT/so
1623410326.6500645,epfl/justhink/show_QT_head_down
1623410331.7144418,epfl/justhink/point_front_head_forward
1623410334.6221638,QT/happy
1623410341.1752725,QT/yawn
1623410347.8562746,QT/rappel
1623410354.630393,QT/no
1623410366.203572,QT/happy
1623410373.0852406,QT/yawn
1623410377.851915,QT/so
1623410384.4167905,QT/yes
1623410390.9364834,epfl/justhink/show_QT_head_down
1623410396.0213819,epfl/justhink/point_front_head_forward
1623410399.103331,QT/happy
1623410407.4913478,QT/yawn
1623410409.9874132,QT/so
1623410416.9099624,QT/yes
1623410421.2182105,QT/so
1623410425.3151774,epfl/justhink/show_QT_head_down
1623410430.6331775,epfl/justhink/point_front_head_forward
1623410434.020036,QT/happy
1623410442.5141764,QT/yawn
1623410446.0699637,QT/so
1623410453.1632915,QT/yes
1623410461.1982985,epfl/justhink/show_QT_head_down
1623410465.8614843,epfl/justhink/point_front_head_forward
1623410469.1590753,QT/happy
1623410477.7440605,QT/yawn
1623410482.2750566,QT/so
1623410489.172378,QT/yes
1623410497.647194,epfl/justhink/show_QT_head_down
1623410497.6505287,QT/sad
1623410501.5358045,epfl/justhink/point_front_head_forward
1623410502.027172,QT/happy
1623410510.5995164,epfl/justhink/show_QT_head_down
1623410515.4238615,epfl/justhink/point_front_head_forward
1623410534.3750567,QT/show_tablet
1623410550.10637,epfl/justhink/show_QT_head_down
1623410558.4322932,epfl/justhink/point_front_head_forward
1623410565.641546,QT/sad
1623410576.0411136,QT/so
1623410583.6229393,QT/yes
1623410589.7775085,epfl/justhink/show_QT_head_down
1623410594.2763445,epfl/justhink/point_front_head_forward
1623410599.6432226,QT/happy
1623410606.556545,QT/yawn
1623410611.0945585,QT/so
1623410618.2580097,QT/yes
1623410626.2328525,epfl/justhink/show_QT_head_down
1623410631.543433,epfl/justhink/point_front_head_forward
1623410634.6582866,QT/happy
1623410645.059628,QT/yawn
1623410648.854232,QT/so
1623410655.885981,QT/yes
1623410659.5982482,QT/so
1623410663.7059333,epfl/justhink/show_QT_head_down
1623410667.7948139,epfl/justhink/point_front_head_forward
1623410670.8776739,QT/happy
1623410681.104198,QT/yawn
1623410686.4897747,QT/so
1623410693.872795,QT/protect
1623410696.875526,QT/so
1623410700.9844773,epfl/justhink/show_QT_head_down
1623410706.3019133,epfl/justhink/point_front_head_forward
1623410710.222504,QT/happy
1623410718.7912912,QT/yawn
1623410724.576183,QT/so
1623410731.5734951,QT/yes
1623410738.26813,epfl/justhink/show_QT_head_down
1623410742.9560025,epfl/justhink/point_front_head_forward
1623410748.0183353,QT/happy
1623410754.42518,QT/yawn
1623410758.320374,QT/so
1623410765.3531284,QT/bored
1623410768.5540507,QT/so
1623410772.6728854,epfl/justhink/show_QT_head_down
1623410777.7777069,epfl/justhink/point_front_head_forward
1623410783.1409528,QT/sad
1623410800.9325128,QT/sad
1623410808.4670494,QT/happy
1623410815.2941008,QT/so
1623410822.0013173,QT/no
1623410832.9174793,QT/happy
1623410839.835988,QT/yawn
1623410843.8406696,QT/so
1623410850.6965892,QT/bored
1623410858.2544446,epfl/justhink/show_QT_head_down
1623410862.3534672,epfl/justhink/point_front_head_forward
1623410865.8157768,QT/sad
1623410881.0518618,QT/so
1623410887.7337658,QT/yes
1623410892.2605302,QT/so
1623410896.3731005,epfl/justhink/show_QT_head_down
1623410900.4549625,epfl/justhink/point_front_head_forward
1623410903.6582718,QT/sad
1623410918.584941,QT/so
1623410925.0330913,QT/yes
1623410927.0701811,QT/so
1623410931.1730971,epfl/justhink/show_QT_head_down
1623410936.1053565,epfl/justhink/point_front_head_forward
1623410939.2473793,QT/happy
1623410946.3284378,QT/yawn
1623410950.6264331,QT/so
1623410957.9912326,QT/yes
1623410962.094036,QT/so
1623410966.2151031,epfl/justhink/show_QT_head_down
1623410971.515251,epfl/justhink/point_front_head_forward
1623410977.5859282,QT/sad
1623410989.704735,QT/so
1623410996.4898527,QT/yes
1623411002.8698914,epfl/justhink/show_QT_head_down
1623411007.7645617,epfl/justhink/point_front_head_forward
1623411011.657291,QT/happy
1623411018.4120004,QT/yawn
1623411022.105398,QT/so
1623411029.292062,QT/yes
1623411037.0793486,epfl/justhink/show_QT_head_down
1623411041.9697855,epfl/justhink/point_front_head_forward
1623411045.4545686,QT/sad
1623411061.2473335,QT/thanks
1623411074.3148096,QT/show_tablet
1623411217.031118,QT/show_tablet
1623411256.591619,epfl/justhink/point_front_head_forward
1623411297.8092782,QT/curious
1623411336.2365916,QT/curious
1623411369.1412613,QT/curious
1623411425.7631838,epfl/justhink/hi_head
1623411425.7895708,QT/send_kiss
