Time,agent_name,type,edge.u,edge.v
1623408979.8110378,robot,0,0,3
1623409064.3895488,robot,0,0,3
1623409124.3983212,robot,0,6,4
1623409133.8303688,robot,0,4,5
1623409173.553595,robot,0,7,6
1623409182.8263001,robot,0,6,5
1623409221.6938975,robot,0,9,8
1623409230.708154,robot,0,8,2
1623409266.7384665,robot,0,2,1
1623409274.5485935,robot,0,1,3
1623409318.963097,robot,0,4,1
1623409357.4653745,robot,0,2,3
1623409391.0382082,robot,0,1,3
1623409537.7021637,robot,0,0,3
1623409572.9156013,robot,0,1,9
1623409605.6967254,robot,0,7,5
1623409614.4923098,robot,0,5,3
1623409686.7900183,robot,0,5,4
1623409694.994118,robot,0,4,6
1623409725.2948914,robot,0,5,7
1623409759.2884517,robot,0,6,7
1623409768.5139172,robot,0,7,5
1623409797.1723347,robot,0,7,0
1623409804.8693023,robot,0,0,3
1623409837.3194864,robot,0,3,1
1623409863.341055,robot,0,4,1
1623409872.3489702,robot,0,1,2
1623409902.4678738,robot,0,1,9
1623409911.4588926,robot,0,9,8
1623409941.1464937,robot,0,9,4
1623409964.903655,robot,0,3,2
1623409973.715362,robot,0,2,8
1623410021.8589668,robot,0,6,4
1623410031.061026,robot,0,4,5
1623410059.119707,robot,0,6,7
1623410068.3307655,robot,0,7,5
1623410092.7061741,robot,0,7,0
1623410101.319395,robot,0,0,3
1623410131.5589607,robot,0,2,1
1623410157.2067478,robot,0,1,9
1623410165.419216,robot,0,9,8
1623410191.9281423,robot,0,3,1
1623410201.0884452,robot,0,1,4
1623410259.8163273,robot,0,6,4
1623410287.8700073,robot,0,4,5
1623410297.5170364,robot,0,5,7
1623410324.5438848,robot,0,4,1
1623410333.7758198,robot,0,1,2
1623410365.0940413,robot,0,2,3
1623410388.8499086,robot,0,0,3
1623410398.0728626,robot,0,3,1
1623410423.2557893,robot,0,7,6
1623410432.6755376,robot,0,6,5
1623410459.1065547,robot,0,4,9
1623410467.8982365,robot,0,9,8
1623410495.5319936,robot,0,2,8
1623410497.5978363,robot,3,0,0
1623410502.566059,robot,4,0,0
1623410517.4650342,robot,0,8,9
1623410560.4893246,robot,0,0,3
1623410587.7086728,robot,0,8,9
1623410596.3723412,robot,0,9,1
1623410624.1464055,robot,0,1,2
1623410633.601673,robot,0,2,3
1623410661.6335032,robot,0,4,5
1623410669.8581402,robot,0,5,7
1623410698.9192293,robot,0,6,7
1623410708.3480506,robot,0,7,0
1623410736.2015133,robot,0,6,4
1623410745.0114818,robot,0,4,1
1623410770.612281,robot,0,3,0
1623410779.8532357,robot,0,0,2
1623410830.8093479,robot,0,4,5
1623410856.191542,robot,0,6,7
1623410864.394454,robot,0,7,5
1623410894.3143532,robot,0,4,6
1623410902.4999018,robot,0,6,5
1623410929.1161757,robot,0,4,1
1623410938.1564846,robot,0,1,2
1623410964.1367776,robot,0,9,8
1623410973.5584755,robot,0,8,2
1623411000.7983184,robot,0,9,1
1623411009.8096445,robot,0,1,3
1623411034.9919386,robot,0,3,0
1623411044.0458524,robot,0,0,7
