Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623068964.5111878,1,1623068964,510382890,init,init,start
1623068970.2548807,2,1623068970,254253149,start,start,init
1623069019.9392111,3,1623069019,938425302,init,init,start
1623069031.878,4,1623069031,877155303,start,start,intro
1623069064.641048,5,1623069064,640331029,intro,intro,indiv-illustrate
1623069285.1581073,6,1623069285,157921075,pretest-1,pretest-1,pretest-2
1623069368.3491976,7,1623069368,348256349,pretest-2,pretest-2,pretest-3
1623069428.434768,8,1623069428,433990478,pretest-3,pretest-3,pretest-4
1623069474.4837723,9,1623069474,482859611,pretest-4,pretest-4,pretest-5
1623069523.369821,10,1623069523,368931531,pretest-5,pretest-5,collab-activity
1623069918.4100833,11,1623069918,409082174,collab-activity,collab-activity,collab-activity
1623070882.8988001,2,1623070882,897468566,collab-activity,collab-activity,collab-activity
1623070967.465526,1,1623070967,464659929,init,init,init
1623070994.1872852,2,1623070994,186338663,collab-activity,collab-activity,collab-activity
1623071319.0693471,3,1623071319,68557739,collab-activity-2,collab-activity-2,collab-activity-2
1623072064.5961425,4,1623072064,595319509,posttest-1,posttest-1,posttest-1
1623072099.7559361,5,1623072099,755236148,posttest-1,posttest-1,posttest-2
1623072131.7461464,6,1623072131,745428800,posttest-2,posttest-2,posttest-3
1623072161.5864768,7,1623072161,585652828,posttest-3,posttest-3,posttest-4
1623072189.528984,8,1623072189,528167724,posttest-4,posttest-4,posttest-5
1623072237.4946349,9,1623072237,493733882,posttest-5,posttest-5,debriefing
