participant,pretest_feasible,posttest_feasible,pretest_optimal,posttest_optimal,pretest_error,posttest_error,pretest_errors,posttest_errors,gain_feasible,gain_optimal,learning_gain
1,1.0,1.0,0.4,0.8,0.16952380952380955,0.013333333333333332,"[0.5333333333333333, 0.26666666666666666, 0.047619047619047616, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.06666666666666667]",0.0,0.6666666666666667,0.1561904761904762
2,0.8,1.0,0.0,0.8,0.31047619047619046,0.009523809523809523,"[nan, 0.6, 0.2857142857142857, 0.2, 0.4666666666666667]","[0.0, 0.0, 0.047619047619047616, 0.0, 0.0]",1.0,0.8,0.3009523809523809
3,1.0,1.0,0.2,1.0,0.040634920634920635,0.0,"[0.06666666666666667, 0.06666666666666667, 0.047619047619047616, 0.022222222222222223, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.040634920634920635
4,0.8,1.0,0.0,0.0,0.3898412698412698,0.3555555555555555,"[nan, 1.2666666666666666, 0.23809523809523808, 0.1111111111111111, 0.3333333333333333]","[0.2, 0.4, 0.3333333333333333, 0.5111111111111111, 0.3333333333333333]",1.0,,0.03428571428571431
5,1.0,0.8,0.0,0.0,0.3003174603174603,0.16698412698412696,"[0.4666666666666667, 0.26666666666666666, 0.19047619047619047, 0.37777777777777777, 0.2]","[0.26666666666666666, nan, 0.19047619047619047, 0.17777777777777778, 0.2]",-0.19999999999999996,,0.13333333333333336
6,1.0,0.8,0.0,0.0,0.30984126984126986,0.14984126984126983,"[0.26666666666666666, 0.5333333333333333, 0.23809523809523808, 0.24444444444444444, 0.26666666666666666]","[nan, 0.26666666666666666, 0.23809523809523808, 0.17777777777777778, 0.06666666666666667]",-0.19999999999999996,,0.16000000000000003
7,0.4,0.0,0.2,0.0,0.04,,"[0.2, 0.0, nan, nan, nan]","[nan, nan, nan, nan, nan]",-1.0,-1.0,
8,1.0,1.0,0.0,0.0,0.9257142857142858,0.1034920634920635,"[0.2, 1.6, 1.4285714285714286, 1.2, 0.2]","[0.13333333333333333, 0.2, 0.09523809523809523, 0.022222222222222223, 0.06666666666666667]",0.0,,0.8222222222222223
9,1.0,1.0,0.8,0.8,0.013333333333333332,0.009523809523809523,"[0.06666666666666667, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.047619047619047616, 0.0, 0.0]",0.0,0.0,0.0038095238095238095
