Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
32.30520057678223,2,init,init,init
54.134255170822144,2,init,init,init
98.41194725036621,2,init,init,init
101.81204128265381,3,init,init,start
138.53351521492004,4,start,start,intro
171.56345772743225,5,intro,intro,indiv-illustrate
277.97104501724243,6,indiv-illustrate,indiv-illustrate,pretest-1
373.10909605026245,7,pretest-1,pretest-1,pretest-2
462.88326120376587,8,pretest-2,pretest-2,pretest-3
531.0601027011871,9,pretest-3,pretest-3,pretest-4
598.1013631820679,10,pretest-4,pretest-4,pretest-5
647.2034368515015,11,pretest-5,pretest-5,collab-activity
1749.0698373317719,12,collab-activity,collab-activity,collab-activity-2
2066.6957664489746,13,collab-activity-2,collab-activity-2,collab-activity-2
2075.1585564613342,14,collab-activity-2,collab-activity-2,collab-activity-2
2693.0928106307983,15,collab-activity-2,collab-activity-2,posttest-1
2740.7374823093414,16,posttest-1,posttest-1,posttest-2
2775.4551661014557,17,posttest-2,posttest-2,posttest-3
2813.6367082595825,18,posttest-3,posttest-3,posttest-4
2865.8536071777344,19,posttest-4,posttest-4,posttest-5
2905.481543779373,20,posttest-5,posttest-5,debriefing
