Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623221077.815566,1,1623221077,814754486,init,init,start
1623221093.0441773,2,1623221093,43349504,start,start,intro
1623221126.2630017,3,1623221126,262343406,intro,intro,indiv-illustrate
1623221230.7464764,4,1623221230,745847463,indiv-illustrate,indiv-illustrate,pretest-1
1623221377.2505617,5,1623221377,249834537,pretest-1,pretest-1,pretest-2
1623221443.9348452,6,1623221443,934214353,pretest-2,pretest-2,pretest-3
1623221506.8483913,7,1623221506,847460269,pretest-3,pretest-3,pretest-4
1623221601.6609907,8,1623221601,660169124,pretest-4,pretest-4,pretest-5
1623221652.304275,9,1623221652,303331851,pretest-5,pretest-5,collab-activity
1623223362.6012175,10,1623223362,600564718,collab-activity-2,collab-activity-2,collab-activity-2
1623223850.766903,11,1623223850,765804767,collab-activity-2,collab-activity-2,collab-activity-2
1623223857.6246932,12,1623223857,623848915,posttest-1,posttest-1,posttest-1
1623223864.8526046,13,1623223864,852317094,posttest-1,posttest-1,posttest-1
1623223921.289964,14,1623223921,289288997,posttest-1,posttest-1,posttest-2
1623223958.310409,15,1623223958,309602737,posttest-2,posttest-2,posttest-3
1623224014.7194562,16,1623224014,718600988,posttest-3,posttest-3,posttest-4
1623224064.4543834,17,1623224064,453522682,posttest-4,posttest-4,posttest-5
1623224133.106801,18,1623224133,105923652,posttest-5,posttest-5,debriefing
