Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,symbol,modifiers
1623220896.5431147,1,1623220896,542710542,init,65513,0
1623221038.2833815,2,1623221038,283156394,init,65507,0
1623221077.0477927,3,1623221077,47474384,init,65507,0
1623221077.1828256,4,1623221077,182557106,init,65363,2
1623223351.5914,5,1623223351,591192007,collab-activity,65507,0
1623223354.313291,6,1623223354,312973260,collab-activity,65507,0
1623223354.4609098,7,1623223354,460563182,collab-activity,65505,2
1623223359.2308264,8,1623223359,229726314,collab-activity,65363,3
1623223362.4139533,9,1623223362,413769006,collab-activity-2,65507,0
1623223362.5004056,10,1623223362,500105142,collab-activity-2,65505,2
1623223362.6011722,11,1623223362,600475549,collab-activity-2,112,3
1623223853.6412163,12,1623223853,640978336,collab-activity-2,65507,0
1623223853.7443388,13,1623223853,744051933,collab-activity-2,65505,2
1623223854.7141514,14,1623223854,713838815,collab-activity-2,65363,3
1623223856.2904603,15,1623223856,290202856,posttest-1,65507,0
1623223856.4009278,16,1623223856,400541543,posttest-1,65505,2
1623223857.624711,17,1623223857,623751878,posttest-1,112,3
1623223860.2941172,18,1623223860,293782949,posttest-1,65507,0
1623223860.5092742,19,1623223860,509087324,posttest-1,65505,2
1623223864.8532596,20,1623223864,852216482,posttest-1,112,3
1623224186.5700395,21,1623224186,569807052,debriefing,65507,0
1623224192.9542265,22,1623224192,953864336,debriefing,65507,0
1623224193.0061107,23,1623224193,5772352,debriefing,65307,2
