Time,header.seq,header.frame_id,x,y,dx,dy,left,right
0.0,1,start,824,519,0,0,True,False
66.49855971336365,2,indiv-illustrate,1073,623,-10,10,True,False
66.53251910209656,3,indiv-illustrate,1028,642,-45,19,True,False
66.58983111381531,4,indiv-illustrate,1012,647,-16,5,True,False
67.06144285202026,5,indiv-illustrate,1013,647,1,0,True,False
67.11655449867249,6,indiv-illustrate,1120,647,107,0,True,False
67.32089424133301,7,indiv-illustrate,1184,647,64,0,True,False
67.38182306289673,8,indiv-illustrate,1241,610,57,-37,True,False
67.42283749580383,9,indiv-illustrate,1309,536,68,-74,True,False
67.76500844955444,10,indiv-illustrate,1313,531,4,-5,True,False
67.90670418739319,11,indiv-illustrate,1425,482,112,-49,True,False
68.73971462249756,12,indiv-illustrate,1426,482,1,0,True,False
68.83522701263428,13,indiv-illustrate,1424,482,-2,0,True,False
68.8883306980133,14,indiv-illustrate,1421,482,-3,0,True,False
68.98217511177063,15,indiv-illustrate,1413,486,-8,4,True,False
69.43508744239807,16,indiv-illustrate,1408,494,-5,8,True,False
69.55408191680908,17,indiv-illustrate,1447,503,39,9,True,False
70.27536821365356,18,indiv-illustrate,1462,505,15,2,True,False
125.61518049240112,19,indiv-illustrate,1096,634,0,-12,True,False
125.61649060249329,20,indiv-illustrate,1109,609,13,-25,True,False
125.70854330062866,21,indiv-illustrate,1143,590,34,-19,True,False
125.76056623458862,22,indiv-illustrate,1162,577,19,-13,True,False
125.81722974777222,23,indiv-illustrate,1170,574,8,-3,True,False
125.95467281341553,24,indiv-illustrate,1172,574,2,0,True,False
126.18100929260254,25,indiv-illustrate,1171,574,-1,0,True,False
126.26664400100708,26,indiv-illustrate,1097,588,-74,14,True,False
126.43895649909973,27,indiv-illustrate,1096,591,-1,3,True,False
126.44592380523682,28,indiv-illustrate,1161,591,65,0,True,False
126.52877044677734,29,indiv-illustrate,1188,591,27,0,True,False
126.61232018470764,30,indiv-illustrate,1225,576,37,-15,True,False
126.69139385223389,31,indiv-illustrate,1250,567,25,-9,True,False
