Time,header.seq,header.frame_id,x,y,dx,dy,left,right
0.0,1,start,1212,730,0,1,True,False
9.775161743164062e-06,2,start,1212,730,0,0,True,False
0.009166240692138672,3,start,1210,737,-2,7,True,False
0.012855052947998047,4,start,1206,745,-4,8,True,False
0.023705720901489258,5,start,1200,750,-6,5,True,False
0.028329849243164062,6,start,1192,759,-8,9,True,False
0.03644704818725586,7,start,1191,761,-1,2,True,False
0.046323299407958984,8,start,1188,766,-3,5,True,False
0.08787846565246582,9,start,1180,776,-8,10,True,False
0.0881502628326416,10,start,1175,784,-5,8,True,False
0.08816313743591309,11,start,1171,787,-4,3,True,False
0.08816957473754883,12,start,1166,796,-5,9,True,False
0.08825945854187012,13,start,1159,804,-7,8,True,False
0.0882723331451416,14,start,1157,809,-2,5,True,False
0.12501144409179688,15,start,1150,816,-7,7,True,False
0.12523126602172852,16,start,1141,828,-9,12,True,False
0.12523984909057617,17,start,1134,838,-7,10,True,False
0.1252427101135254,18,start,1126,848,-8,10,True,False
0.12525296211242676,19,start,1117,859,-9,11,True,False
0.13504600524902344,20,start,1113,866,-4,7,True,False
0.1740734577178955,21,start,1109,870,-4,4,True,False
0.17504549026489258,22,start,1105,875,-4,5,True,False
0.17505860328674316,23,start,1102,882,-3,7,True,False
0.17507457733154297,24,start,1100,887,-2,5,True,False
0.1750776767730713,25,start,1099,892,-1,5,True,False
0.17958712577819824,26,start,1097,896,-2,4,True,False
0.21623754501342773,27,start,1097,898,0,2,True,False
0.21625185012817383,28,start,1097,901,0,3,True,False
0.21627092361450195,29,start,1097,902,0,1,True,False
0.2163238525390625,30,start,1097,905,0,3,True,False
0.21633028984069824,31,start,1097,906,0,1,True,False
0.2236642837524414,32,start,1096,906,-1,0,True,False
0.2599811553955078,33,start,1096,907,0,1,True,False
120.09444165229797,34,indiv-illustrate,1000,596,-7,6,True,False
120.13765454292297,35,indiv-illustrate,1005,597,5,1,True,False
120.22674679756165,36,indiv-illustrate,1016,607,11,10,True,False
120.27985668182373,37,indiv-illustrate,1026,609,10,2,True,False
120.32192826271057,38,indiv-illustrate,1030,610,4,1,True,False
120.40286660194397,39,indiv-illustrate,1033,611,3,1,True,False
120.49708867073059,40,indiv-illustrate,1041,611,8,0,True,False
120.49782824516296,41,indiv-illustrate,1049,613,8,2,True,False
120.59129118919373,42,indiv-illustrate,1078,615,29,2,True,False
120.62801313400269,43,indiv-illustrate,1102,615,24,0,True,False
120.75891447067261,44,indiv-illustrate,1114,615,12,0,True,False
120.75977110862732,45,indiv-illustrate,1123,610,9,-5,True,False
120.84790396690369,46,indiv-illustrate,1169,579,46,-31,True,False
120.89615893363953,47,indiv-illustrate,1189,565,20,-14,True,False
121.03614258766174,48,indiv-illustrate,1198,556,9,-9,True,False
121.03713726997375,49,indiv-illustrate,1211,545,13,-11,True,False
121.09080624580383,50,indiv-illustrate,1227,542,16,-3,True,False
121.13738751411438,51,indiv-illustrate,1255,542,28,0,True,False
121.21532607078552,52,indiv-illustrate,1260,542,5,0,True,False
121.29900407791138,53,indiv-illustrate,1265,542,5,0,True,False
121.35620450973511,54,indiv-illustrate,1277,542,12,0,True,False
121.39437937736511,55,indiv-illustrate,1288,540,11,-2,True,False
121.44174146652222,56,indiv-illustrate,1318,526,30,-14,True,False
121.57409143447876,57,indiv-illustrate,1327,522,9,-4,True,False
121.57482957839966,58,indiv-illustrate,1332,518,5,-4,True,False
121.62841892242432,59,indiv-illustrate,1345,505,13,-13,True,False
121.70853304862976,60,indiv-illustrate,1355,500,10,-5,True,False
