Time,header.seq,header.frame_id,symbol,modifiers
0.0,1,init,65513,0
230.27189326286316,2,init,65507,0
230.39299941062927,3,init,65505,2
231.0892689228058,4,init,65363,3
238.3935465812683,5,start,65507,0
238.48787832260132,6,start,65505,2
239.32384967803955,7,intro,65361,3
240.75527143478394,8,indiv-illustrate,65361,3
241.31389546394348,9,intro,65361,3
254.89412784576416,10,start,65507,0
254.9879081249237,11,start,65505,2
255.47027969360352,12,start,112,3
2121.921455144882,13,collab-activity-2,1095216660480,0
2122.5312423706055,14,collab-activity-2,1095216660480,0
2123.2285764217377,15,collab-activity-2,1095216660480,0
2123.4976348876953,16,collab-activity-2,1095216660480,0
2123.7201685905457,17,collab-activity-2,1095216660480,0
2124.93723320961,18,collab-activity-2,1095216660480,0
2126.9410605430603,19,collab-activity-2,1095216660480,0
2129.304913520813,20,collab-activity-2,1095216660480,0
2130.7394511699677,21,collab-activity-2,1095216660480,0
2132.176682472229,22,collab-activity-2,1095216660480,0
2132.4990470409393,23,collab-activity-2,1095216660480,0
2447.5782396793365,24,collab-activity-2,65505,0
2447.578425884247,25,collab-activity-2,65505,0
2448.439407348633,26,collab-activity-2,65363,0
2448.537058353424,27,collab-activity-2,65363,0
2448.7391543388367,28,collab-activity-2,65363,0
2448.924793958664,29,collab-activity-2,65363,0
2449.0690257549286,30,collab-activity-2,65363,0
2449.562661409378,31,collab-activity-2,65363,0
2449.719161272049,32,collab-activity-2,65361,0
2450.1414337158203,33,collab-activity-2,65364,0
2450.4133927822113,34,collab-activity-2,65362,0
2450.8966603279114,35,collab-activity-2,65363,0
2451.0831475257874,36,collab-activity-2,65361,0
2451.2888598442078,37,collab-activity-2,65362,0
2451.72199678421,38,collab-activity-2,65364,0
2452.6473174095154,39,collab-activity-2,65363,0
2452.795459985733,40,collab-activity-2,65361,0
2453.3868432044983,41,collab-activity-2,65364,0
2453.574915409088,42,collab-activity-2,65362,0
2640.4395904541016,43,collab-activity-2,65507,0
2640.556670188904,44,collab-activity-2,65505,2
2641.3710033893585,45,collab-activity-2,65505,2
2641.46968460083,46,collab-activity-2,65363,3
2643.2579617500305,47,posttest-1,112,3
3342.9547004699707,48,debriefing,65507,0
3343.070392847061,49,debriefing,65505,2
3343.159811735153,50,debriefing,65361,3
3346.2839477062225,51,posttest-5,65507,0
3346.405773162842,52,posttest-5,65505,2
3346.6524028778076,53,posttest-5,65361,3
3350.650782108307,54,posttest-4,65507,0
3350.805064201355,55,posttest-4,65505,2
3351.3139460086823,56,posttest-4,65361,3
3352.700530529022,57,posttest-3,65361,3
3378.003443956375,58,posttest-2,65507,0
3378.3993802070618,59,posttest-2,65507,0
3378.469805955887,60,posttest-2,65505,2
3378.58505320549,61,posttest-2,65361,3
3379.392296552658,62,posttest-1,65361,3
3380.1797790527344,63,collab-activity-2,65361,3
3380.6548533439636,64,collab-activity,65361,3
3381.3033080101013,65,pretest-5,65361,3
3382.3773908615112,66,pretest-4,65361,3
3383.870201587677,67,pretest-3,65361,3
3400.454691171646,68,pretest-2,65507,0
3402.594204902649,69,pretest-2,65507,0
3402.749339580536,70,pretest-2,65505,2
3402.8716926574707,71,pretest-2,65363,3
3406.850114107132,72,pretest-3,65361,3
3408.0199077129364,73,pretest-2,65361,3
3408.6223924160004,74,pretest-1,112,3
3594.120769739151,75,pretest-1,65507,0
3594.142381668091,76,pretest-1,65363,2
3594.147973537445,77,pretest-1,65505,2
3595.284383535385,78,pretest-2,65507,0
3595.3854520320892,79,pretest-2,65505,2
3595.465533733368,80,pretest-2,65361,3
3595.822023868561,81,pretest-2,65361,3
3596.5102019309998,82,pretest-1,65361,3
3597.773250579834,83,indiv-illustrate,65363,3
3598.2729308605194,84,pretest-1,65363,3
3598.891885995865,85,pretest-2,65363,3
3601.9122581481934,86,pretest-3,65507,0
3601.9896240234375,87,pretest-3,65505,2
3602.0813405513763,88,pretest-3,65361,3
3603.1457526683807,89,pretest-2,65507,0
3673.1408245563507,90,pretest-2,65507,0
3673.2284314632416,91,pretest-2,65505,2
3673.4148411750793,92,pretest-2,65363,3
