Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
239.8724546432495,2,start,start,intro
241.07749938964844,3,start,start,indiv-illustrate
256.4465000629425,4,start,start,start
296.5693440437317,5,start,start,intro
328.8325183391571,6,intro,intro,indiv-illustrate
433.35971426963806,7,indiv-illustrate,indiv-illustrate,pretest-1
567.7300279140472,8,pretest-1,pretest-1,pretest-2
622.6290547847748,9,pretest-2,pretest-2,pretest-3
695.9322080612183,10,pretest-3,pretest-3,pretest-4
735.6438660621643,11,pretest-4,pretest-4,pretest-5
771.5898058414459,12,pretest-5,pretest-5,collab-activity
1416.1793117523193,13,collab-activity,collab-activity,collab-activity-2
2644.233971118927,14,posttest-1,posttest-1,posttest-1
2687.850675344467,15,posttest-1,posttest-1,posttest-2
2707.410989046097,16,posttest-2,posttest-2,posttest-3
2738.0255415439606,17,posttest-3,posttest-3,posttest-4
2748.5438935756683,18,posttest-4,posttest-4,posttest-5
2764.2051553726196,19,posttest-5,posttest-5,debriefing
3409.5979607105255,20,pretest-1,pretest-1,pretest-1
3595.5094122886658,21,pretest-1,pretest-1,pretest-2
