Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,symbol,modifiers
1623227500.5908601,1,1623227500,590548515,init,65507,0
1623227500.8575773,2,1623227500,857020854,init,65307,2
1623227588.6858535,1,1623227588,685570240,init,65507,0
1623227588.917508,2,1623227588,917152404,init,65363,2
1623228202.8785422,3,1623228202,878254413,collab-activity,65507,0
1623228203.0645702,4,1623228203,64350366,collab-activity,99,2
1623228372.5063756,1,1623228372,505872964,init,65507,0
1623228372.6114433,2,1623228372,610964298,init,65505,2
1623228372.8636272,3,1623228372,863059282,init,65363,3
1623228373.2073424,4,1623228373,206975460,start,65363,3
1623228373.499025,5,1623228373,498761892,intro,65363,3
1623228373.8610656,6,1623228373,860844135,indiv-illustrate,65363,3
1623228374.3368256,7,1623228374,336387872,pretest-1,65363,3
1623228374.9748209,8,1623228374,974354267,pretest-2,65363,3
1623228375.8834403,9,1623228375,883137702,pretest-3,65363,3
1623228376.8543842,10,1623228376,854119062,pretest-4,65363,3
1623228377.6757517,11,1623228377,675439596,pretest-5,65363,3
1623228378.9645422,12,1623228378,964303731,collab-activity,65513,0
1623228393.9332025,13,1623228393,932929277,collab-activity,65507,0
1623228394.0341208,14,1623228394,33892631,collab-activity,65505,2
1623228394.2190626,15,1623228394,217969655,collab-activity,112,3
1623228445.2052968,1,1623228445,205021619,init,65507,0
1623228445.3230145,2,1623228445,322810888,init,65507,0
1623228445.4572957,3,1623228445,456886053,init,65505,2
1623228445.6992917,4,1623228445,698994159,init,65363,3
1623228445.9046276,5,1623228445,904376029,start,65363,3
1623228446.0697403,6,1623228446,69397449,intro,65363,3
1623228446.276284,7,1623228446,275959253,indiv-illustrate,65363,3
1623228446.6892123,8,1623228446,688840389,pretest-1,65363,3
1623228447.1643407,9,1623228447,163940668,pretest-2,65363,3
1623228447.6109424,10,1623228447,610630989,pretest-3,65363,3
1623228448.3360167,11,1623228448,335505485,pretest-4,65363,3
1623228449.3174777,12,1623228449,317173957,pretest-5,65363,3
1623228451.796848,13,1623228451,796431303,collab-activity,65507,0
1623228452.0401618,14,1623228452,39793968,collab-activity,65513,0
1623228461.672218,15,1623228461,671772480,collab-activity,65507,0
1623228461.7224479,16,1623228461,722201347,collab-activity,65505,2
1623228461.9504423,17,1623228461,949438571,collab-activity,112,3
1623229927.5371244,18,1623229927,536822080,collab-activity,65507,0
1623229927.6761453,19,1623229927,675918817,collab-activity,65505,2
1623229932.6535845,20,1623229932,653165817,collab-activity,65363,3
1623229934.1934876,21,1623229934,192490816,collab-activity-2,112,3
1623231183.4118807,22,1623231183,411665678,collab-activity-2,65507,0
1623231183.5029488,23,1623231183,502741575,collab-activity-2,65505,2
1623231183.9269037,24,1623231183,926476955,collab-activity-2,65363,3
1623231185.1751585,25,1623231185,174221515,posttest-1,112,3
1623231211.8446825,26,1623231211,844459056,posttest-1,52,0
1623231213.5012474,27,1623231213,500697851,posttest-1,52,0
1623231225.9747484,28,1623231225,974516630,posttest-1,65507,0
1623231236.2810612,29,1623231236,280862569,posttest-1,65507,0
1623231236.3863106,30,1623231236,386034965,posttest-1,65505,2
1623231236.708969,31,1623231236,708716869,posttest-1,65363,3
1623231238.528208,32,1623231238,527358293,posttest-2,112,3
1623231273.889555,33,1623231273,889316320,posttest-2,65507,0
1623231273.9396913,34,1623231273,939427375,posttest-2,65289,2
1623231275.819104,35,1623231275,818845033,posttest-2,65507,0
1623231276.765055,36,1623231276,764719963,posttest-2,65289,2
1623231277.5852904,37,1623231277,584986686,posttest-2,65507,0
1623231277.9627242,38,1623231277,962515354,posttest-2,65289,2
1623231278.8519773,39,1623231278,851674556,posttest-2,65507,0
1623231278.9341497,40,1623231278,933868646,posttest-2,65289,2
1623231279.8892715,41,1623231279,888940095,posttest-2,65507,0
1623231280.0733829,42,1623231280,73065519,posttest-2,65307,2
1623231288.7547576,1,1623231288,754510164,init,65507,0
1623231288.8018436,2,1623231288,801596403,init,65505,2
1623231289.3156798,3,1623231289,315241098,init,65363,3
1623231289.4707317,4,1623231289,470325231,init,65363,3
1623231289.5562716,5,1623231289,555893898,init,65363,3
1623231289.6116254,6,1623231289,611268043,init,65363,3
1623231289.7545593,7,1623231289,754218816,init,65363,3
1623231289.8418818,8,1623231289,841533184,init,65363,3
1623231290.2355797,9,1623231290,235312461,start,65363,3
1623231290.3803902,10,1623231290,380035877,start,65363,3
1623231290.7122028,11,1623231290,711825847,intro,65363,3
1623231291.1034863,12,1623231291,103189468,indiv-illustrate,65363,3
1623231291.4382527,13,1623231291,437557935,pretest-1,65363,3
1623231291.8716533,14,1623231291,871204376,pretest-2,65363,3
1623231292.4147973,15,1623231292,414371728,pretest-3,65363,3
1623231292.8362908,16,1623231292,835813522,pretest-4,65363,3
1623231293.2656991,17,1623231293,265328884,pretest-5,65363,3
1623231293.7943964,18,1623231293,793964862,collab-activity,65363,3
1623231294.464558,19,1623231294,464249849,collab-activity-2,65363,3
1623231295.6851687,20,1623231295,684277772,posttest-1,112,3
