Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623062544.6453037,1,1623062544,644509792,init,init,init
1623062685.4674141,2,1623062685,466618776,init,init,start
1623062718.84026,3,1623062718,839657306,start,start,intro
1623062751.664517,4,1623062751,663527488,intro,intro,indiv-illustrate
1623062859.2055137,5,1623062859,204565048,indiv-illustrate,indiv-illustrate,pretest-1
1623062926.8934057,6,1623062926,892736434,pretest-1,pretest-1,pretest-2
1623062972.9214082,7,1623062972,920739412,pretest-2,pretest-2,pretest-3
1623063022.051295,8,1623063022,50277233,pretest-3,pretest-3,pretest-4
1623063118.0062704,9,1623063118,5342721,pretest-4,pretest-4,pretest-5
1623063160.2616932,10,1623063160,261103630,pretest-5,pretest-5,collab-activity
1623063504.9333034,11,1623063504,932557821,collab-activity,collab-activity,collab-activity
1623063917.711126,12,1623063917,710251808,collab-activity,collab-activity,collab-activity
1623064268.9448097,13,1623064268,944020032,collab-activity,collab-activity,collab-activity
1623064410.5163195,14,1623064410,515473842,collab-activity-2,collab-activity-2,collab-activity-2
1623064805.5650938,15,1623064805,564440250,collab-activity-2,collab-activity-2,collab-activity-2
1623065588.3775017,16,1623065588,376776933,posttest-1,posttest-1,posttest-1
1623065629.7076755,17,1623065629,706729173,posttest-1,posttest-1,posttest-2
1623065687.3412757,18,1623065687,340269088,posttest-2,posttest-2,posttest-3
1623065717.1074574,19,1623065717,106663703,posttest-3,posttest-3,posttest-4
1623065776.276151,20,1623065776,275388479,posttest-4,posttest-4,posttest-5
1623065808.2596025,21,1623065808,258691310,posttest-5,posttest-5,debriefing
