Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623227083.5491664,1,1623227083,548678159,init,init,init
1623227589.5433977,3,1623227589,542728424,init,init,start
1623227609.719451,4,1623227609,718774080,start,start,intro
1623227642.459964,5,1623227642,459203481,intro,intro,indiv-illustrate
1623227758.0028796,6,1623227758,1936197,indiv-illustrate,indiv-illustrate,pretest-1
1623227846.6020086,7,1623227846,601195096,pretest-1,pretest-1,pretest-2
1623227909.6271696,8,1623227909,626294612,pretest-2,pretest-2,pretest-3
1623227969.1597826,9,1623227969,159121513,pretest-3,pretest-3,pretest-4
1623228040.3418076,10,1623228040,341190814,pretest-4,pretest-4,pretest-5
1623228102.6764884,11,1623228102,675581693,pretest-5,pretest-5,collab-activity
1623228371.1301064,1,1623228371,129360198,init,init,init
1623228394.2183473,2,1623228394,218063354,collab-activity,collab-activity,collab-activity
1623228444.5537193,1,1623228444,552988767,init,init,init
1623228461.9504564,2,1623228461,949533224,collab-activity,collab-activity,collab-activity
1623229934.1928236,3,1623229934,192610740,collab-activity-2,collab-activity-2,collab-activity-2
1623231185.1751704,4,1623231185,174343824,posttest-1,posttest-1,posttest-1
1623231238.528208,5,1623231238,527453899,posttest-2,posttest-2,posttest-2
1623231287.9515371,2,1623231287,950735569,init,init,init
1623231295.6851795,3,1623231295,684394121,posttest-1,posttest-1,posttest-1
1623231350.1618237,4,1623231350,160881519,posttest-1,posttest-1,posttest-2
1623231393.62532,5,1623231393,624483346,posttest-2,posttest-2,posttest-3
1623231437.4092963,6,1623231437,408623218,posttest-3,posttest-3,posttest-4
1623231484.7325783,7,1623231484,731746912,posttest-4,posttest-4,posttest-5
1623231547.5834782,8,1623231547,582768917,posttest-5,posttest-5,debriefing
