Time,agent_name,type,edge.u,edge.v
1623228405.8900983,robot,0,0,3
1623228473.6658232,robot,0,0,3
1623228527.1332328,robot,0,3,1
1623228537.9645934,robot,0,3,2
1623228606.8014793,robot,0,1,2
1623228655.9279613,robot,0,2,3
1623228702.0165157,robot,0,3,5
1623228712.2635863,robot,0,3,7
1623228760.8008041,robot,0,5,4
1623228771.8691194,robot,0,5,7
1623228816.9172683,robot,0,4,6
1623228828.1748245,robot,0,4,1
1623228877.1282787,robot,0,6,7
1623228889.0153434,robot,0,6,5
1623228946.133453,robot,0,4,1
1623228957.6066508,robot,0,4,9
1623228995.3121583,robot,0,9,8
1623229006.6138794,robot,0,9,1
1623229042.598027,robot,0,2,8
1623229054.4835753,robot,0,2,9
1623229117.7631412,robot,0,4,5
1623229154.8676124,robot,0,9,8
1623229166.5071304,robot,0,9,1
1623229206.8589036,robot,0,8,2
1623229208.9079807,robot,3,0,0
1623229215.1276417,robot,4,0,0
1623229229.379044,robot,0,8,9
1623229289.7961407,robot,0,8,2
1623229291.8483865,robot,3,0,0
1623229298.481588,robot,4,0,0
1623229312.5366056,robot,0,8,9
1623229358.4188273,robot,0,9,1
1623229397.3180695,robot,0,8,2
1623229399.3727832,robot,3,0,0
1623229405.7391427,robot,4,0,0
1623229420.504712,robot,0,8,9
1623229535.969828,robot,0,9,1
1623229546.4317536,robot,0,9,4
1623229599.4641652,robot,0,2,8
1623229610.9425876,robot,0,2,1
1623229646.1410513,robot,0,1,3
1623229657.4278831,robot,0,1,4
1623229706.1886263,robot,0,3,5
1623229717.0304399,robot,0,3,0
1623229751.8299334,robot,0,5,4
1623229763.715362,robot,0,5,7
1623229807.5502632,robot,0,7,6
1623229819.0248978,robot,0,7,0
1623229851.7729754,robot,0,3,0
1623229862.6344526,robot,0,3,2
1623229899.099415,robot,0,6,4
1623229910.558085,robot,0,6,5
1623229961.5720258,robot,0,0,3
1623230002.9087863,robot,0,2,1
1623230014.7950609,robot,0,2,3
1623230047.5614526,robot,0,2,8
1623230059.2386107,robot,0,2,9
1623230098.788762,robot,0,3,1
1623230131.7300525,robot,0,1,9
1623230142.490056,robot,0,1,4
1623230183.9800446,robot,0,4,6
1623230194.0158706,robot,0,4,5
1623230244.9906564,robot,0,5,7
1623230281.2493415,robot,0,7,6
1623230292.541665,robot,0,7,0
1623230365.0135942,robot,0,8,9
1623230376.2688851,robot,0,8,2
1623230406.178475,robot,0,2,1
1623230417.8449717,robot,0,2,3
1623230450.8144774,robot,0,1,3
1623230461.8770468,robot,0,1,9
1623230503.8572242,robot,0,0,3
1623230515.345279,robot,0,0,7
1623230549.328992,robot,0,7,6
1623230559.582779,robot,0,7,5
1623230593.5768826,robot,0,6,4
1623230604.8526309,robot,0,6,5
1623230639.6330254,robot,0,4,9
1623230650.6021047,robot,0,4,5
1623230723.6059384,robot,0,8,9
1623230735.298835,robot,0,8,2
1623230767.6416163,robot,0,2,1
1623230779.1268091,robot,0,2,3
1623230815.9879901,robot,0,6,4
1623230856.930551,robot,0,5,4
1623230867.4083736,robot,0,5,7
1623230909.7704105,robot,0,7,6
1623230920.8406985,robot,0,7,5
1623230986.3707821,robot,0,3,2
1623230997.041648,robot,0,3,1
1623231052.7524562,robot,0,6,4
1623231062.9854004,robot,0,6,7
