Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
39.50222301483154,2,init,init,start
40.96241211891174,3,start,start,start
44.12022519111633,4,start,start,intro
83.6529438495636,1,init,init,init
85.5778648853302,2,init,init,start
86.50245261192322,3,start,start,start
274.8935639858246,4,start,start,intro
309.79799795150757,5,intro,intro,indiv-illustrate
430.4733283519745,6,indiv-illustrate,indiv-illustrate,pretest-1
529.7345600128174,7,pretest-1,pretest-1,pretest-2
745.3695878982544,8,pretest-2,pretest-2,pretest-3
842.3622937202454,9,pretest-3,pretest-3,pretest-4
910.3937158584595,10,pretest-4,pretest-4,pretest-5
955.8272149562836,11,pretest-5,pretest-5,collab-activity
1478.1593852043152,12,collab-activity,collab-activity,collab-activity-2
1840.655445575714,13,collab-activity-2,collab-activity-2,posttest-1
1932.144541501999,2,posttest-1,posttest-1,posttest-1
2051.546384334564,3,posttest-1,posttest-1,posttest-2
2135.4532368183136,4,posttest-2,posttest-2,posttest-3
2209.486385822296,5,posttest-3,posttest-3,posttest-4
2262.0074410438538,6,posttest-4,posttest-4,posttest-5
2330.1300961971283,7,posttest-5,posttest-5,debriefing
