Time,header.seq,header.frame_id,current,next
0.0,1,init,init,start
15.22861123085022,2,start,start,intro
48.4474356174469,3,intro,intro,indiv-illustrate
152.9309103488922,4,indiv-illustrate,indiv-illustrate,pretest-1
299.4349956512451,5,pretest-1,pretest-1,pretest-2
366.11927914619446,6,pretest-2,pretest-2,pretest-3
429.0328252315521,7,pretest-3,pretest-3,pretest-4
523.8454246520996,8,pretest-4,pretest-4,pretest-5
574.4887089729309,9,pretest-5,pretest-5,collab-activity
2284.785651445389,10,collab-activity-2,collab-activity-2,collab-activity-2
2772.9513368606567,11,collab-activity-2,collab-activity-2,collab-activity-2
2779.8091270923615,12,posttest-1,posttest-1,posttest-1
2787.037038564682,13,posttest-1,posttest-1,posttest-1
2843.4743978977203,14,posttest-1,posttest-1,posttest-2
2880.494843006134,15,posttest-2,posttest-2,posttest-3
2936.903890132904,16,posttest-3,posttest-3,posttest-4
2986.6388173103333,17,posttest-4,posttest-4,posttest-5
3055.291234970093,18,posttest-5,posttest-5,debriefing
