Time,header.seq,header.frame_id,symbol,modifiers
0.0,1,init,65513,0
141.74026679992676,2,init,65507,0
180.50467801094055,3,init,65507,0
180.63971066474915,4,init,65363,2
2455.048285007477,5,collab-activity,65507,0
2457.7701761722565,6,collab-activity,65507,0
2457.917794942856,7,collab-activity,65505,2
2462.6877114772797,8,collab-activity,65363,3
2465.870838403702,9,collab-activity-2,65507,0
2465.957290649414,10,collab-activity-2,65505,2
2466.058057308197,11,collab-activity-2,112,3
2957.0981016159058,12,collab-activity-2,65507,0
2957.2012238502502,13,collab-activity-2,65505,2
2958.1710364818573,14,collab-activity-2,65363,3
2959.7473454475403,15,posttest-1,65507,0
2959.8578128814697,16,posttest-1,65505,2
2961.081596136093,17,posttest-1,112,3
2963.7510023117065,18,posttest-1,65507,0
2963.9661593437195,19,posttest-1,65505,2
2968.310144662857,20,posttest-1,112,3
3290.026924610138,21,debriefing,65507,0
3296.4111115932465,22,debriefing,65507,0
3296.462996006012,23,debriefing,65307,2
