Time,agent_name,type,edge.u,edge.v
1623236282.3656697,robot,0,0,3
1623236322.100827,robot,0,5,4
1623236331.1294243,robot,0,4,6
1623236368.3831115,robot,0,6,7
1623236377.8202243,robot,0,7,5
1623236422.045224,robot,0,2,1
1623236430.6489313,robot,0,1,3
1623236475.4989781,robot,0,8,9
1623236484.002954,robot,0,9,1
1623236556.8012962,robot,0,2,1
1623236564.5816274,robot,0,1,3
1623236600.429209,robot,0,8,9
1623236608.8355193,robot,0,9,1
1623236649.1886706,robot,0,5,4
1623236657.974327,robot,0,4,6
1623236692.7758224,robot,0,6,7
1623236701.1832237,robot,0,7,5
1623236738.677194,robot,0,1,3
1623236779.2064853,robot,0,3,0
1623236788.227527,robot,0,0,7
1623236825.712837,robot,0,1,4
1623236833.9040537,robot,0,4,9
1623236895.0325828,robot,0,0,3
1623236940.8353763,robot,0,6,4
1623236979.9174547,robot,0,4,5
1623236989.3379977,robot,0,5,7
1623237033.992919,robot,0,1,2
1623237043.4270658,robot,0,2,3
1623237072.9058077,robot,0,9,8
1623237082.33054,robot,0,8,2
1623237121.6348975,robot,0,6,7
1623237130.651564,robot,0,7,5
1623237222.847889,robot,0,9,8
1623237232.4514349,robot,0,8,2
1623237292.465165,robot,0,1,2
1623237301.9191005,robot,0,2,3
1623237346.5125382,robot,0,9,1
1623237386.8764477,robot,0,1,4
1623237395.6777124,robot,0,4,5
1623237454.0531313,robot,0,4,5
1623237487.8451984,robot,0,6,7
1623237497.0695782,robot,0,7,5
1623237533.724245,robot,0,4,6
1623237542.5044782,robot,0,6,5
1623237614.180979,robot,0,4,5
1623237623.6268346,robot,0,5,7
1623237691.212821,robot,0,7,6
1623237700.152413,robot,0,6,4
1623237774.5549233,robot,0,9,8
1623237782.951075,robot,0,8,2
1623237813.6609702,robot,0,1,2
1623237822.8906028,robot,0,2,3
1623237876.9622407,robot,0,4,6
1623237885.17108,robot,0,6,7
1623237930.6154468,robot,0,4,5
1623237938.6062098,robot,0,5,7
1623237973.8347442,robot,0,9,8
1623238005.7861447,robot,0,9,4
1623238013.8852959,robot,0,4,1
1623238051.0368662,robot,0,1,2
1623238060.4523265,robot,0,2,3
