Time,header.seq,header.frame_id,current,next
0.0,1,init,init,start
2.655701160430908,2,start,start,start
26.55603551864624,3,start,start,intro
29.410701513290405,4,start,start,start
31.426846981048584,5,start,start,intro
35.70314908027649,6,init,init,start
53.18847060203552,7,init,init,start
68.07137489318848,8,start,start,intro
102.72057723999023,9,intro,intro,indiv-illustrate
218.51481342315674,10,indiv-illustrate,indiv-illustrate,pretest-1
316.11055874824524,11,pretest-1,pretest-1,pretest-2
406.57268238067627,12,pretest-2,pretest-2,pretest-3
468.9592707157135,13,pretest-3,pretest-3,pretest-4
584.3205845355988,14,pretest-4,pretest-4,pretest-5
645.6155138015747,15,pretest-5,pretest-5,collab-activity
2112.2701575756073,16,collab-activity-2,collab-activity-2,collab-activity-2
2723.713142633438,1,init,init,init
2738.872936964035,2,collab-activity-2,collab-activity-2,collab-activity-2
