Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623241847.3343003,1,1623241847,333620071,init,init,start
1623241849.9900017,2,1623241849,989463806,start,start,start
1623241873.890336,3,1623241873,889819622,start,start,intro
1623241876.745002,4,1623241876,744222402,start,start,start
1623241878.7611475,5,1623241878,760575056,start,start,intro
1623241883.0374496,6,1623241883,37212848,init,init,start
1623241900.5227711,7,1623241900,522062301,init,init,start
1623241915.4056754,8,1623241915,405504941,start,start,intro
1623241950.0548778,9,1623241950,54020643,intro,intro,indiv-illustrate
1623242065.849114,10,1623242065,848312616,indiv-illustrate,indiv-illustrate,pretest-1
1623242163.4448593,11,1623242163,444149017,pretest-1,pretest-1,pretest-2
1623242253.906983,12,1623242253,906164169,pretest-2,pretest-2,pretest-3
1623242316.2935712,13,1623242316,292662858,pretest-3,pretest-3,pretest-4
1623242431.654885,14,1623242431,654244422,pretest-4,pretest-4,pretest-5
1623242492.9498143,15,1623242492,949100255,pretest-5,pretest-5,collab-activity
1623243959.6044579,16,1623243959,604175329,collab-activity-2,collab-activity-2,collab-activity-2
1623244571.0474432,1,1623244571,46761512,init,init,init
1623244586.2072377,2,1623244586,206482172,collab-activity-2,collab-activity-2,collab-activity-2
