Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,symbol,modifiers
1623408276.1180267,1,1623408276,117736101,init,65513,0
1623408332.4783893,2,1623408332,477940320,init,65507,0
1623408334.2747405,3,1623408334,274438858,init,65363,2
1623408337.951886,4,1623408337,951573610,start,65507,0
1623408338.3889139,5,1623408338,388607025,start,65361,2
1623408342.881261,6,1623408342,880928993,init,65507,0
1623408343.7263398,7,1623408343,726066350,init,65363,2
1623408344.4603748,8,1623408344,460128784,start,65505,2
1623408344.8560586,9,1623408344,855103015,start,112,3
1623408345.7823706,10,1623408345,782120466,start,65507,0
1623408346.3478692,11,1623408346,347505807,start,65361,2
1623408398.9982958,12,1623408398,998008251,init,65507,0
1623408399.4221425,13,1623408399,421891212,init,65363,2
1623408400.4547546,14,1623408400,454365730,start,65507,0
1623408401.9651139,15,1623408401,964905500,start,65507,0
1623408402.3486073,16,1623408402,348327875,start,65361,2
1623408413.75065,17,1623408413,750467061,init,65507,0
1623408414.3032815,18,1623408414,302835226,init,65363,2
1623409040.0859344,1,1623409040,85565328,init,65513,0
1623409049.3642967,2,1623409049,364081859,init,65507,0
1623409049.8335013,3,1623409049,833026647,init,65363,2
1623409050.176611,4,1623409050,176237583,start,65363,2
1623409050.2961133,5,1623409050,295765876,start,65363,2
1623409050.6326597,6,1623409050,632328033,intro,65363,2
1623409050.8266013,7,1623409050,826208353,intro,65363,2
1623409051.0291247,8,1623409051,28769254,indiv-illustrate,65363,2
1623409051.4602659,9,1623409051,459839344,pretest-1,65363,2
1623409051.9075086,10,1623409051,907159328,pretest-2,65363,2
1623409052.6633294,11,1623409052,663049697,pretest-3,65363,2
1623409053.3700888,12,1623409053,369771718,pretest-4,65363,2
1623409053.9789035,13,1623409053,978573799,pretest-5,65363,2
1623409057.298174,14,1623409057,297873735,collab-activity,65507,0
1623409057.5667243,15,1623409057,566456556,collab-activity,65505,2
1623409500.2724957,16,1623409500,272131919,collab-activity,65289,0
1623409501.0536752,17,1623409501,53461313,collab-activity,65507,0
1623409501.4466047,18,1623409501,446420192,collab-activity,65289,2
1623409502.2080772,19,1623409502,207584857,collab-activity,65505,2
1623409502.5862317,20,1623409502,586008548,collab-activity,98784247808,3
1623409503.3270764,21,1623409503,326897144,collab-activity,65507,0
1623409503.3337858,22,1623409503,333491086,collab-activity,65505,2
1623409503.4617522,23,1623409503,461480379,collab-activity,98784247808,3
