Time,header.seq,header.frame_id,x,y,dx,dy,left,right
754.766881942749,97,pretest-4,776,504,0,0,True,False
767.5124297142029,98,pretest-5,856,814,0,0,True,False
771.8228549957275,99,pretest-5,1267,734,0,0,True,False
776.1075558662415,100,pretest-5,1467,454,0,0,True,False
782.4139752388,101,pretest-5,1190,592,0,0,True,False
784.1299965381622,102,pretest-5,851,813,0,0,True,False
789.8926866054535,103,pretest-5,781,573,0,0,True,False
798.3670058250427,104,pretest-5,759,607,0,0,True,False
802.3942935466766,105,pretest-5,1134,331,0,0,True,False
805.7171819210052,106,pretest-5,1491,433,0,0,True,False
811.8061230182648,107,pretest-5,1738,898,0,0,True,False
814.5409953594208,108,pretest-5,770,516,0,0,True,False
889.7024040222168,109,collab-activity,877,669,0,0,True,False
907.0139760971069,110,collab-activity,432,643,0,0,True,False
914.0846889019012,111,collab-activity,1002,434,0,0,True,False
921.7311301231384,112,collab-activity,1036,406,0,0,True,False
930.1376194953918,113,collab-activity,962,449,0,0,True,False
948.6743664741516,114,collab-activity,275,161,0,0,True,False
965.1739156246185,115,collab-activity,517,409,0,0,True,False
986.4807841777802,116,collab-activity,1574,169,0,0,True,False
1008.2226877212524,117,collab-activity,841,717,0,0,True,False
1027.1530756950378,118,collab-activity,1684,161,0,0,True,False
1052.9914138317108,119,collab-activity,648,871,0,0,True,False
1082.840279340744,120,collab-activity,1571,147,0,0,True,False
1101.653011083603,121,collab-activity,1056,439,0,0,True,False
1127.3795278072357,122,collab-activity,1584,174,0,0,True,False
1148.6433403491974,123,collab-activity,1070,606,0,0,True,False
1170.0227134227753,124,collab-activity,279,128,0,0,True,False
1183.4091153144836,125,collab-activity,1438,468,0,0,True,False
1219.333764076233,126,collab-activity,1640,46,0,0,True,False
1233.6637828350067,127,collab-activity,1193,882,0,0,False,True
1234.7937970161438,128,collab-activity,1095,850,0,0,True,False
1237.6754534244537,129,collab-activity,1444,488,0,0,True,False
1268.2194275856018,130,collab-activity,192,127,0,0,True,False
1355.6836624145508,1,init,1139,318,0,0,True,False
1379.6912660598755,2,collab-activity,1261,925,0,0,True,False
1381.371235370636,3,collab-activity,1490,981,0,0,True,False
1392.3495876789093,4,collab-activity,1411,992,0,0,True,False
1455.9833331108093,5,collab-activity,271,155,0,0,True,False
1470.3912987709045,6,collab-activity,469,397,0,0,True,False
1501.8877358436584,7,collab-activity,1591,215,0,0,True,False
1516.3819572925568,8,collab-activity,986,457,0,0,True,False
1536.273118019104,9,collab-activity,239,150,0,0,True,False
1559.4985299110413,10,collab-activity,711,646,0,0,True,False
1568.6165595054626,11,collab-activity,1418,521,0,0,True,False
1586.493884563446,12,collab-activity,276,212,0,0,True,False
1601.3522946834564,13,collab-activity,1396,828,0,0,True,False
1601.456948041916,14,collab-activity,1241,697,0,0,False,True
1625.4787735939026,15,collab-activity,294,139,0,0,True,False
1636.5270268917084,16,collab-activity,1033,879,0,0,True,False
1663.3621673583984,17,collab-activity,210,226,0,0,True,False
1675.3646657466888,18,collab-activity,632,526,0,0,False,True
1679.301941871643,19,collab-activity,984,461,0,0,True,False
1700.7760927677155,20,collab-activity,1175,627,0,0,True,False
1716.7193131446838,21,collab-activity,1711,700,0,0,True,False
1785.7109758853912,22,collab-activity,291,189,0,0,True,False
1786.563598394394,23,collab-activity,286,143,0,0,True,False
1800.472582101822,24,collab-activity,452,596,0,0,True,False
1800.491229057312,25,collab-activity,452,596,0,0,True,False
1806.1885747909546,26,collab-activity,443,672,0,0,True,False
1811.857971906662,27,collab-activity,926,482,0,0,True,False
1817.8784482479095,28,collab-activity,982,463,0,0,True,False
1822.5528616905212,29,collab-activity,982,462,0,0,True,False
1826.6082813739777,30,collab-activity,1727,837,0,0,True,False
1827.4350655078888,31,collab-activity,1731,843,0,0,True,False
1828.2297117710114,32,collab-activity,1731,843,0,0,True,False
1831.9053106307983,33,collab-activity,1759,926,0,0,True,False
1839.0599746704102,34,collab-activity,1759,925,0,0,True,False
1911.088918209076,35,collab-activity-2,314,147,0,0,True,False
1919.9636356830597,36,collab-activity-2,1491,587,0,0,True,False
1946.4570527076721,37,collab-activity-2,1661,105,0,0,True,False
1947.250165462494,38,collab-activity-2,1610,180,0,0,True,False
1960.028122663498,39,collab-activity-2,1455,596,0,0,True,False
1978.3185381889343,40,collab-activity-2,205,124,0,0,True,False
1978.707260131836,41,collab-activity-2,237,245,0,0,True,False
1986.7860505580902,42,collab-activity-2,1475,596,0,0,True,False
2016.8203239440918,43,collab-activity-2,1661,147,0,0,True,False
2029.1528646945953,44,collab-activity-2,1218,754,0,0,True,False
2072.8788590431213,45,collab-activity-2,303,159,0,0,True,False
2083.2630155086517,46,collab-activity-2,504,423,0,0,True,False
2103.4655289649963,47,collab-activity-2,257,97,0,0,True,False
2104.0295960903168,48,collab-activity-2,239,143,0,0,True,False
2120.529590368271,49,collab-activity-2,889,386,0,0,True,False
2162.304764509201,50,collab-activity-2,311,136,0,0,True,False
2165.009651184082,51,collab-activity-2,1662,845,0,0,True,False
2165.4116775989532,52,collab-activity-2,1767,833,0,0,True,False
2165.74299287796,53,collab-activity-2,1707,915,0,0,True,False
2166.0265958309174,54,collab-activity-2,1704,848,0,0,True,False
2169.7044088840485,55,collab-activity-2,1741,850,0,0,True,False
2273.234302520752,56,collab-activity-2,894,743,0,0,True,False
2335.433871984482,57,collab-activity-2,1666,125,0,0,True,False
2350.108504295349,58,collab-activity-2,1161,864,0,0,True,False
2355.7258400917053,59,collab-activity-2,1315,870,0,0,True,False
2373.0841386318207,60,collab-activity-2,229,128,0,0,True,False
2384.0178701877594,61,collab-activity-2,1263,841,0,0,True,False
2391.590134382248,62,collab-activity-2,1328,883,0,0,True,False
2416.4644474983215,63,collab-activity-2,256,157,0,0,True,False
2435.9827094078064,64,collab-activity-2,1485,692,0,0,True,False
2447.13796377182,65,collab-activity-2,1475,634,0,0,True,False
2469.598328590393,66,collab-activity-2,1631,188,0,0,True,False
2483.7885897159576,67,collab-activity-2,884,391,0,0,True,False
2516.39302277565,68,collab-activity-2,321,165,0,0,True,False
2536.7484006881714,69,collab-activity-2,450,416,0,0,True,False
2577.3260776996613,70,collab-activity-2,1625,123,0,0,True,False
2590.0965564250946,71,collab-activity-2,415,401,0,0,True,False
2594.1470308303833,72,collab-activity-2,485,411,0,0,True,False
2621.1931393146515,73,collab-activity-2,1580,141,0,0,True,False
2634.347964525223,74,collab-activity-2,513,395,0,0,True,False
2657.278711795807,75,collab-activity-2,1634,148,0,0,True,False
2658.556293487549,76,collab-activity-2,1770,875,0,0,True,False
2702.8775515556335,77,posttest-1,572,379,0,0,True,False
2713.2589654922485,78,posttest-1,521,393,0,0,True,False
2713.2808713912964,79,posttest-1,298,684,0,0,True,False
2713.634552001953,80,posttest-1,475,505,0,0,True,False
2717.4102730751038,81,posttest-1,421,629,0,0,True,False
2721.3467211723328,82,posttest-1,684,901,0,0,True,False
2722.9994966983795,83,posttest-1,903,702,0,0,True,False
2725.1999022960663,84,posttest-1,1083,615,0,0,True,False
2736.4191069602966,85,posttest-1,1081,569,0,0,True,False
2736.453937292099,86,posttest-1,1072,642,0,0,True,False
2736.4833397865295,87,posttest-1,1082,606,0,0,True,False
2741.3127233982086,88,posttest-1,707,548,0,0,False,True
2748.8908972740173,89,posttest-1,1783,855,0,0,True,False
2750.9545719623566,90,posttest-1,789,499,0,0,True,False
2762.764086008072,91,posttest-2,1369,860,0,0,True,False
2766.0927731990814,92,posttest-2,849,847,0,0,True,False
2770.184455394745,93,posttest-2,843,619,0,0,True,False
2772.619211912155,94,posttest-2,1327,697,0,0,True,False
2780.262568473816,95,posttest-2,1203,708,0,0,True,False
2780.3095722198486,96,posttest-2,815,883,0,0,True,False
2781.595003604889,97,posttest-2,1041,768,0,0,True,False
2791.0340073108673,98,posttest-2,1115,493,0,0,True,False
2793.5438475608826,99,posttest-2,1251,336,0,0,True,False
2799.9834864139557,100,posttest-2,1659,854,0,0,True,False
2801.697309732437,101,posttest-2,729,516,0,0,True,False
2812.8473932743073,102,posttest-3,937,391,0,0,True,False
2815.5504677295685,103,posttest-3,942,417,0,0,True,False
2818.7655618190765,104,posttest-3,870,545,0,0,True,False
2821.1450238227844,105,posttest-3,525,475,0,0,False,True
2828.438619375229,106,posttest-3,485,479,0,0,True,False
2831.4487993717194,107,posttest-3,617,708,0,0,True,False
2833.7657585144043,108,posttest-3,777,882,0,0,True,False
2838.511956691742,109,posttest-3,1699,852,0,0,True,False
2840.2243053913116,110,posttest-3,795,505,0,0,True,False
2849.168778896332,111,posttest-4,798,584,0,0,True,False
2851.632175207138,112,posttest-4,1346,846,0,0,True,False
2853.6565277576447,113,posttest-4,1055,686,0,0,True,False
2855.733924150467,114,posttest-4,1028,665,0,0,True,False
2864.4947850704193,115,posttest-4,1441,704,0,0,True,False
2866.7526681423187,116,posttest-4,1287,522,0,0,True,False
2870.426183462143,117,posttest-4,1118,364,0,0,True,False
2871.5845923423767,118,posttest-4,1731,952,0,0,True,False
2871.9278054237366,119,posttest-4,1693,871,0,0,True,False
2873.317064523697,120,posttest-4,768,491,0,0,True,False
2879.913123846054,121,posttest-5,1510,449,0,0,True,False
2887.160069465637,122,posttest-5,1467,475,0,0,True,False
2887.257051706314,123,posttest-5,859,832,0,0,True,False
2887.303859949112,124,posttest-5,1294,713,0,0,True,False
2890.1893146038055,125,posttest-5,571,837,0,0,True,False
2896.56254696846,126,posttest-5,1151,314,0,0,True,False
2899.5438644886017,127,posttest-5,1118,285,0,0,True,False
2906.7070395946503,128,posttest-5,1723,896,0,0,True,False
2908.4483695030212,129,posttest-5,798,407,0,0,True,False
2909.0413131713867,130,posttest-5,812,505,0,0,True,False
2917.2901298999786,131,debriefing,423,324,0,0,True,False
2932.620203971863,132,debriefing,1127,1069,0,0,True,False
2934.6088120937347,133,debriefing,1138,1076,0,0,True,False
2942.8716490268707,134,debriefing,1151,1077,0,0,True,False
2956.424519777298,135,debriefing,1127,1068,0,0,True,False
2956.5903742313385,136,debriefing,1127,1077,0,0,True,False
2957.2024924755096,137,debriefing,1123,1080,0,0,True,False
2957.7773616313934,138,debriefing,1139,1073,0,0,True,False
2958.2597262859344,139,debriefing,1142,1080,0,0,True,False
