Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
58.23452115058899,2,init,init,start
77.38899993896484,3,start,start,intro
109.69340252876282,4,intro,intro,indiv-illustrate
220.557936668396,5,indiv-illustrate,indiv-illustrate,pretest-1
283.4600319862366,6,pretest-1,pretest-1,pretest-2
498.311021566391,7,pretest-2,pretest-2,pretest-3
625.9119243621826,8,pretest-3,pretest-3,pretest-4
812.5027253627777,9,pretest-4,pretest-4,pretest-5
872.2578756809235,10,pretest-5,pretest-5,collab-activity
1410.916254043579,2,init,init,init
1449.8528807163239,3,collab-activity,collab-activity,collab-activity
1776.9872739315033,4,collab-activity,collab-activity,collab-activity
1926.7330322265625,5,collab-activity-2,collab-activity-2,collab-activity-2
2330.857619524002,6,collab-activity-2,collab-activity-2,collab-activity-2
2744.1819241046906,7,posttest-1,posttest-1,posttest-1
2808.809161901474,8,posttest-1,posttest-1,posttest-2
2859.599918603897,9,posttest-2,posttest-2,posttest-3
2898.05921959877,10,posttest-3,posttest-3,posttest-4
2931.1515805721283,11,posttest-4,posttest-4,posttest-5
2966.8675322532654,12,posttest-5,posttest-5,debriefing
