Time,header.seq,header.frame_id,symbol,modifiers
0.0,1,init,65513,0
56.36036252975464,2,init,65507,0
58.15671372413635,3,init,65363,2
61.83385920524597,4,start,65507,0
62.27088737487793,5,start,65361,2
66.76323437690735,6,init,65507,0
67.60831308364868,7,init,65363,2
68.34234809875488,8,start,65505,2
68.73803186416626,9,start,112,3
69.66434383392334,10,start,65507,0
70.2298424243927,11,start,65361,2
122.88026905059814,12,init,65507,0
123.30411577224731,13,init,65363,2
124.33672785758972,14,start,65507,0
125.84708738327026,15,start,65507,0
126.2305805683136,16,start,65361,2
137.6326231956482,17,init,65507,0
138.1852548122406,18,init,65363,2
763.96790766716,1,init,65513,0
773.2462701797485,2,init,65507,0
773.7154743671417,3,init,65363,2
774.0585842132568,4,start,65363,2
774.1780865192413,5,start,65363,2
774.5146329402924,6,intro,65363,2
774.7085745334625,7,intro,65363,2
774.9110980033875,8,indiv-illustrate,65363,2
775.3422393798828,9,pretest-1,65363,2
775.7894818782806,10,pretest-2,65363,2
776.5453026294708,11,pretest-3,65363,2
777.2520620822906,12,pretest-4,65363,2
777.8608767986298,13,pretest-5,65363,2
781.1801471710205,14,collab-activity,65507,0
781.4486975669861,15,collab-activity,65505,2
1224.1544687747955,16,collab-activity,65289,0
1224.9356484413147,17,collab-activity,65507,0
1225.3285779953003,18,collab-activity,65289,2
1226.090050458908,19,collab-activity,65505,2
1226.4682049751282,20,collab-activity,98784247808,3
1227.2090497016907,21,collab-activity,65507,0
1227.2157590389252,22,collab-activity,65505,2
1227.3437254428864,23,collab-activity,98784247808,3
1228.7017641067505,24,collab-activity,65289,0
1228.8542790412903,25,collab-activity,65289,0
1251.5700726509094,26,collab-activity,65507,0
1251.7046620845795,27,collab-activity,65505,2
1251.980838060379,28,collab-activity,112,3
2256.029303073883,29,collab-activity,65507,0
2256.2196786403656,30,collab-activity,65505,2
2256.3178763389587,31,collab-activity,65363,3
2257.108984708786,32,collab-activity,65507,0
2257.4759294986725,33,collab-activity-2,65505,2
2258.256350517273,34,collab-activity-2,112,3
2859.1748576164246,35,posttest-1,65289,0
2874.755147457123,36,posttest-1,32,0
2874.880966901779,37,posttest-1,113,0
2886.875212907791,38,posttest-1,65289,0
2887.03391456604,39,posttest-1,65289,0
2887.5137889385223,40,posttest-1,65507,0
2887.695249557495,41,posttest-1,65505,2
2887.9341871738434,42,posttest-1,65505,2
2888.16237616539,43,posttest-1,98784247808,3
2888.595861196518,44,posttest-1,98784247808,3
2889.1239054203033,45,posttest-1,100,0
2889.1379520893097,46,posttest-1,115,0
2889.248769044876,47,posttest-1,97,0
2889.3428575992584,48,posttest-1,100,0
2889.3566851615906,49,posttest-1,115,0
2891.589374780655,50,posttest-1,65307,0
2891.8465292453766,51,posttest-1,65507,0
2891.980588197708,52,posttest-1,65307,2
2913.8594324588776,1,init,65507,0
2913.9933331012726,2,init,65505,2
2914.1333043575287,3,init,65363,3
2914.3143441677094,4,init,65363,3
2914.4312629699707,5,start,65363,3
2914.7724182605743,6,intro,65363,3
2914.889370203018,7,intro,65363,3
2915.0019025802612,8,indiv-illustrate,65363,3
2915.1345703601837,9,pretest-1,65363,3
2915.299152135849,10,pretest-2,65363,3
2915.8333671092987,11,pretest-3,65363,3
2916.586140871048,12,pretest-4,65363,3
2918.214052915573,13,pretest-5,65307,0
2918.306967973709,14,pretest-5,65307,0
2918.59690618515,15,pretest-5,65507,0
2918.7021560668945,16,pretest-5,65307,2
2926.5374932289124,1,init,65505,2
2926.9728202819824,2,init,65363,3
2927.424502134323,3,start,65363,3
2927.8572051525116,4,intro,65363,3
2928.289052963257,5,indiv-illustrate,65363,3
2928.7307319641113,6,pretest-1,65363,3
2929.179587364197,7,pretest-2,65363,3
2929.7077989578247,8,pretest-3,65363,3
2930.3078112602234,9,pretest-4,65363,3
2930.8776614665985,10,pretest-5,65363,3
2931.3923773765564,11,collab-activity,65363,3
2931.9879150390625,12,collab-activity-2,65363,3
2933.02605676651,13,posttest-1,65513,0
2940.7158029079437,14,posttest-1,65507,0
2940.855468273163,15,posttest-1,65505,2
2940.912227153778,16,posttest-1,112,3
3165.380885362625,17,debriefing,65507,0
3165.722328901291,18,debriefing,65307,2
