Time,header.seq,header.frame_id,current,next
0.0,1,init,init,start
3.9955263137817383,2,start,start,init
9.34810733795166,3,init,init,start
9.95702838897705,4,start,start,start
12.02741813659668,5,start,start,init
65.1416916847229,6,init,init,start
68.0794415473938,7,start,start,init
79.90321445465088,8,init,init,start
104.44919180870056,9,start,start,intro
138.83045601844788,10,intro,intro,indiv-illustrate
249.55458545684814,11,indiv-illustrate,indiv-illustrate,pretest-1
351.93781208992004,12,pretest-1,pretest-1,pretest-2
419.37767791748047,13,pretest-2,pretest-2,pretest-3
484.56791830062866,14,pretest-3,pretest-3,pretest-4
546.8178086280823,15,pretest-4,pretest-4,pretest-5
586.7291972637177,16,pretest-5,pretest-5,collab-activity
715.0816330909729,1,init,init,start
715.4610500335693,2,start,start,intro
715.9839696884155,3,intro,intro,indiv-illustrate
716.2492096424103,4,indiv-illustrate,indiv-illustrate,pretest-1
716.6653661727905,5,pretest-1,pretest-1,pretest-2
717.3285098075867,6,pretest-2,pretest-2,pretest-3
718.1919326782227,7,pretest-3,pretest-3,pretest-4
718.7299470901489,8,pretest-4,pretest-4,pretest-5
719.3963675498962,9,pretest-5,pretest-5,collab-activity
1193.200581073761,10,collab-activity,collab-activity,collab-activity
2199.475583553314,11,collab-activity-2,collab-activity-2,collab-activity-2
2739.4160482883453,12,collab-activity-2,collab-activity-2,posttest-1
2847.257239341736,2,init,init,init
2882.1319053173065,2,posttest-1,posttest-1,posttest-1
2921.6926703453064,3,posttest-1,posttest-1,posttest-2
2962.910264968872,4,posttest-2,posttest-2,posttest-3
3001.337234735489,5,posttest-3,posttest-3,posttest-4
3034.24228310585,6,posttest-4,posttest-4,posttest-5
3069.0221087932587,7,posttest-5,posttest-5,debriefing
