Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623054398.7291887,1,1623054398,728356599,init,init,init
1623054456.96371,2,1623054456,962711811,init,init,start
1623054476.1181889,3,1623054476,117668151,start,start,intro
1623054508.4225914,4,1623054508,421904802,intro,intro,indiv-illustrate
1623054619.2871256,5,1623054619,286580562,indiv-illustrate,indiv-illustrate,pretest-1
1623054682.189221,6,1623054682,188521146,pretest-1,pretest-1,pretest-2
1623054897.0402105,7,1623054897,39427518,pretest-2,pretest-2,pretest-3
1623055024.6411133,8,1623055024,640341520,pretest-3,pretest-3,pretest-4
1623055211.2319143,9,1623055211,231283187,pretest-4,pretest-4,pretest-5
1623055270.9870646,10,1623055270,986371040,pretest-5,pretest-5,collab-activity
1623055809.645443,2,1623055809,644644021,init,init,init
1623055848.5820696,3,1623055848,580937623,collab-activity,collab-activity,collab-activity
1623056175.7164629,4,1623056175,715773344,collab-activity,collab-activity,collab-activity
1623056325.4622211,5,1623056325,461585760,collab-activity-2,collab-activity-2,collab-activity-2
1623056729.5868084,6,1623056729,586066484,collab-activity-2,collab-activity-2,collab-activity-2
1623057142.911113,7,1623057142,910105228,posttest-1,posttest-1,posttest-1
1623057207.5383508,8,1623057207,537503004,posttest-1,posttest-1,posttest-2
1623057258.3291075,9,1623057258,328464269,posttest-2,posttest-2,posttest-3
1623057296.7884083,10,1623057296,787552356,posttest-3,posttest-3,posttest-4
1623057329.8807697,11,1623057329,880112886,posttest-4,posttest-4,posttest-5
1623057365.5967212,12,1623057365,595886945,posttest-5,posttest-5,debriefing
