Time,header.seq,header.frame_id,current,next
0.0,1,init,init,init
505.99423122406006,3,init,init,start
526.1702845096588,4,start,start,intro
558.9107975959778,5,intro,intro,indiv-illustrate
674.4537131786346,6,indiv-illustrate,indiv-illustrate,pretest-1
763.0528421401978,7,pretest-1,pretest-1,pretest-2
826.0780031681061,8,pretest-2,pretest-2,pretest-3
885.6106162071228,9,pretest-3,pretest-3,pretest-4
956.7926411628723,10,pretest-4,pretest-4,pretest-5
1019.1273219585419,11,pretest-5,pretest-5,collab-activity
1287.5809400081635,1,init,init,init
1310.6691808700562,2,collab-activity,collab-activity,collab-activity
1361.0045528411865,1,init,init,init
1378.4012899398804,2,collab-activity,collab-activity,collab-activity
2850.643657207489,3,collab-activity-2,collab-activity-2,collab-activity-2
4101.626003980637,4,posttest-1,posttest-1,posttest-1
4154.9790415763855,5,posttest-2,posttest-2,posttest-2
4204.402370691299,2,init,init,init
4212.136013269424,3,posttest-1,posttest-1,posttest-1
4266.61265707016,4,posttest-1,posttest-1,posttest-2
4310.076153516769,5,posttest-2,posttest-2,posttest-3
4353.86013007164,6,posttest-3,posttest-3,posttest-4
4401.183412075043,7,posttest-4,posttest-4,posttest-5
4464.034311771393,8,posttest-5,posttest-5,debriefing
