Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623415090.5586529,1,1623415090,557994842,init,init,init
1623415130.0608761,2,1623415130,60016393,init,init,start
1623415131.521065,3,1623415131,520307540,start,start,start
1623415134.678878,4,1623415134,678128480,start,start,intro
1623415174.2115967,1,1623415174,210520029,init,init,init
1623415176.1365178,2,1623415176,135682344,init,init,start
1623415177.0611057,3,1623415177,60096025,start,start,start
1623415365.4522169,4,1623415365,451482534,start,start,intro
1623415400.3566508,5,1623415400,355944156,intro,intro,indiv-illustrate
1623415521.0319812,6,1623415521,31092166,indiv-illustrate,indiv-illustrate,pretest-1
1623415620.293213,7,1623415620,292254686,pretest-1,pretest-1,pretest-2
1623415835.9282408,8,1623415835,927450180,pretest-2,pretest-2,pretest-3
1623415932.9209466,9,1623415932,919834852,pretest-3,pretest-3,pretest-4
1623416000.9523687,10,1623416000,951350450,pretest-4,pretest-4,pretest-5
1623416046.3858678,11,1623416046,385208845,pretest-5,pretest-5,collab-activity
1623416568.718038,12,1623416568,717303752,collab-activity,collab-activity,collab-activity-2
1623416931.2140985,13,1623416931,213354825,collab-activity-2,collab-activity-2,posttest-1
1623417022.7031944,2,1623417022,702897310,posttest-1,posttest-1,posttest-1
1623417142.1050372,3,1623417142,104408502,posttest-1,posttest-1,posttest-2
1623417226.0118897,4,1623417226,11149406,posttest-2,posttest-2,posttest-3
1623417300.0450387,5,1623417300,44141054,posttest-3,posttest-3,posttest-4
1623417352.566094,6,1623417352,565344810,posttest-4,posttest-4,posttest-5
1623417420.688749,7,1623417420,688031673,posttest-5,posttest-5,debriefing
