Time,agent_name,type,edge.u,edge.v
1623416104.2892723,robot,0,0,3
1623416148.7419808,robot,0,1,2
1623416157.9526465,robot,0,2,3
1623416204.0290062,robot,0,8,9
1623416213.453578,robot,0,9,1
1623416253.4239986,robot,0,9,1
1623416288.608255,robot,0,6,4
1623416297.0169418,robot,0,4,5
1623416343.2847474,robot,0,6,7
1623416352.7487879,robot,0,7,5
1623416389.584418,robot,0,9,4
1623416397.7733407,robot,0,4,5
1623416438.7752688,robot,0,1,3
1623416447.3357577,robot,0,3,0
1623416480.7184663,robot,0,8,2
1623416489.7358036,robot,0,2,3
1623416594.399093,robot,0,0,3
1623416621.4141307,robot,0,7,6
1623416630.2371016,robot,0,6,4
1623416670.5692275,robot,0,1,2
1623416679.799721,robot,0,2,3
1623416752.71886,robot,0,5,4
1623416760.485792,robot,0,4,1
1623416811.8953536,robot,0,3,1
1623416851.100441,robot,0,1,9
1623416860.2540908,robot,0,9,8
1623416891.774616,robot,0,0,3
1623416900.5623262,robot,0,3,1
